x_value,total_1,total_2
0,1000,1000
1,994,996
2,994,995
3,991,999
4,997,1004
5,993,1010
6,997,1013
7,995,1019
8,993,1024
9,992,1019
10,999,1024
11,1000,1025
12,998,1031
13,1004,1030
14,1003,1025
15,1007,1023
16,1007,1026
17,1009,1026
18,1008,1024
19,1005,1025
20,999,1026
21,994,1022
22,997,1027
23,1001,1023
24,998,1026
25,1006,1031
26,1004,1027
27,1009,1023
28,1008,1019
29,1008,1025
30,1002,1027
31,1001,1026
32,1005,1023
33,1002,1020
34,1003,1016
35,1006,1020
36,1004,1021
